iter	Passed	Remaining
0	6	65731
1	13	68068
2	19	63896
3	27	68067
4	33	67638
5	40	66713
6	47	67114
7	49	61893
8	55	61653
9	61	61908
10	68	62193
11	74	61971
12	81	62244
13	87	62096
14	94	62668
15	101	63113
16	107	62885
17	114	63339
18	119	62792
19	126	62892
20	133	63240
21	138	63026
22	144	62859
23	151	63052
24	158	63219
25	165	63456
26	172	63611
27	178	63394
28	184	63296
29	190	63333
30	197	63422
31	203	63271
32	211	63796
33	217	63809
34	223	63683
35	229	63391
36	235	63529
37	242	63532
38	248	63481
39	253	63137
40	260	63206
41	266	63267
42	274	63487
43	280	63419
44	287	63551
45	295	63863
46	302	63966
47	308	63951
48	315	63992
49	321	64045
50	328	64093
51	337	64478
52	342	64296
53	348	64185
54	354	64032
55	360	64027
56	366	63917
57	373	63982
58	378	63787
59	384	63755
60	391	63781
61	396	63611
62	403	63571
63	409	63530
64	414	63424
65	420	63358
66	427	63427
67	433	63369
68	439	63202
69	446	63270
70	453	63375
71	460	63456
72	467	63588
73	473	63543
74	480	63580
75	486	63555
76	493	63555
77	498	63425
78	508	63804
79	515	63878
80	523	64119
81	532	64410
82	539	64421
83	546	64460
84	552	64475
85	558	64410
86	565	64438
87	572	64485
88	579	64535
89	585	64443
90	592	64567
91	601	64745
92	608	64780
93	614	64798
94	621	64801
95	628	64809
96	634	64758
97	642	64881
98	648	64843
99	655	64917
100	662	64947
101	670	65031
102	677	65067
103	684	65116
104	692	65249
